,Unnamed: 0,Text,Language,Class,Number of words,Number of spaces
45,45,continents formed then broke up and reformed as the surface of earth reshaped over hundreds of millions of years occasionally combining to make a supercontinent,English,0,25,24
46,46,roughly  million years ago the earliest known supercontinent rodinia began to break apart,English,0,13,12
47,47,the continents later recombined to form pannotia which broke apart about  million years ago then finally pangaea which broke apart about  million years ago,English,0,24,23
48,48,during the neoproterozoic era freezing temperatures covered much of the earth in glaciers and ice sheets,English,0,16,15
49,49,this hypothesis has been termed the snowball earth and it is of particular interest as it precedes the cambrian explosion in which multicellular life forms began to proliferate about – million years ago,English,0,32,31
50,50,since the cambrian explosion there have been five distinctly identifiable mass extinctions,English,0,12,11
51,51,the last mass extinction occurred some  million years ago when a meteorite collision probably triggered the extinction of the nonavian dinosaurs and other large reptiles but spared small animals such as mammals,English,0,33,32
52,52,over the past  million years mammalian life diversified,English,0,8,7
53,53,several million years ago a species of small african ape gained the ability to stand upright,English,0,16,15
54,54,the subsequent advent of human life and the development of agriculture and further civilization allowed humans to affect the earth more rapidly than any previous life form affecting both the nature and quantity of other organisms as well as global climate,English,0,41,40
55,55,by comparison the great oxygenation event produced by the proliferation of algae during the siderian period required about  million years to culminate,English,0,22,21
56,56,the present era is classified as part of a mass extinction event the holocene extinction event the fastest ever to have occurred,English,0,22,21
57,57,some such as e o wilson of harvard university predict that human destruction of the biosphere could cause the extinction of onehalf of all species in the next  years,English,0,29,28
58,58,the extent of the current extinction event is still being researched debated and calculated by biologists,English,0,16,15
59,59,the earth s atmosphere is a key factor in sustaining the ecosystem,English,0,12,11
60,60,the thin layer of gases that envelops the earth is held in place by gravity,English,0,15,14
61,61,air is mostly nitrogen oxygen water vapor with much smaller amounts of carbon dioxide argon etc,English,0,16,15
62,62,the atmospheric pressure declines steadily with altitude,English,0,7,6
63,63,the ozone layer plays an important role in depleting the amount of ultraviolet uv radiation that reaches the surface,English,0,19,18
64,64,as dna is readily damaged by uv light this serves to protect life at the surface,English,0,16,15
65,65,the atmosphere also retains heat during the night thereby reducing the daily temperature extremes,English,0,14,13
66,66,terrestrial weather occurs almost exclusively in the lower part of the atmosphere and serves as a convective system for redistributing heat,English,0,21,20
67,67,ocean currents are another important factor in determining climate particularly the major underwater thermohaline circulation which distributes heat energy from the equatorial oceans to the polar regions,English,0,27,26
68,68,these currents help to moderate the differences in temperature between winter and summer in the temperate zones,English,0,17,16
69,69,also without the redistributions of heat energy by the ocean currents and atmosphere the tropics would be much hotter and the polar regions much colder,English,0,25,24
70,70,weather can have both beneficial and harmful effects,English,0,8,7
71,71,extremes in weather such as tornadoes or hurricanes and cyclones can expend large amounts of energy along their paths and produce devastation,English,0,22,21
72,72,surface vegetation has evolved a dependence on the seasonal variation of the weather and sudden changes lasting only a few years can have a dramatic effect both on the vegetation and on the animals which depend on its growth for their food,English,0,42,41
73,73,climate is a measure of the longterm trends in the weather,English,0,11,10
74,74,various factors are known to influence the climate including ocean currents surface albedo greenhouse gases variations in the solar luminosity and changes to the earth s orbit,English,0,27,26
75,75,based on historical records the earth is known to have undergone drastic climate changes in the past including ice ages,English,0,20,19
76,76,the climate of a region depends on a number of factors especially latitude,English,0,13,12
77,77,a latitudinal band of the surface with similar climatic attributes forms a climate region,English,0,14,13
78,78,there are a number of such regions ranging from the tropical climate at the equator to the polar climate in the northern and southern extremes,English,0,25,24
79,79,weather is also influenced by the seasons which result from the earth s axis being tilted relative to its orbital plane,English,0,21,20
80,80,thus at any given time during the summer or winter one part of the earth is more directly exposed to the rays of the sun,English,0,25,24
81,81,this exposure alternates as the earth revolves in its orbit,English,0,10,9
82,82,at any given time regardless of season the northern and southern hemispheres experience opposite seasons,English,0,15,14
83,83,weather is a chaotic system that is readily modified by small changes to the environment so accurate weather forecasting is limited to only a few days,English,0,26,25
84,84,overall two things are happening worldwide  temperature is increasing on the average and  regional climates have been undergoing noticeable changes,English,0,22,21
85,85,water is a chemical substance that is composed of hydrogen and oxygen ho and is vital for all known forms of life,English,0,22,21
86,86,in typical usage water refers only to its liquid form or state but the substance also has a solid state ice and a gaseous state water vapor or steam,English,0,29,28
87,87,water covers  of the earth s surface,English,0,8,7
88,88,on earth it is found mostly in oceans and other large bodies of water with  of water below ground in aquifers and  in the air as vapor clouds and precipitation,English,0,32,31
89,89,oceans hold  of surface water glaciers and polar ice caps  and other land surface water such as rivers lakes and ponds ,English,0,24,23
90,90,additionally a minute amount of the earth s water is contained within biological bodies and manufactured products,English,0,17,16
91,91,an ocean is a major body of saline water and a principal component of the hydrosphere,English,0,16,15
92,92,approximately  of the earth s surface an area of some  million square kilometers is covered by ocean a continuous body of water that is customarily divided into several principal oceans and smaller seas,English,0,35,34
93,93,more than half of this area is over  meters  feet deep,English,0,13,12
94,94,average oceanic salinity is around  parts per thousand ppt  and nearly all seawater has a salinity in the range of  to  ppt,English,0,26,25
95,95,though generally recognized as several  separate  oceans these waters comprise one global interconnected body of salt water often referred to as the world ocean or global ocean,English,0,29,28
96,96,this concept of a global ocean as a continuous body of water with relatively free interchange among its parts is of fundamental importance to oceanography,English,0,25,24
97,97,the major oceanic divisions are defined in part by the continents various archipelagos and other criteria these divisions are in descending order of size the pacific ocean the atlantic ocean the indian ocean the southern ocean and the arctic ocean,English,0,40,39
98,98,smaller regions of the oceans are called seas gulfs bays and other names,English,0,13,12
99,99,there are also salt lakes which are smaller bodies of landlocked saltwater that are not interconnected with the world ocean,English,0,20,19
100,100,two notable examples of salt lakes are the aral sea and the great salt lake,English,0,15,14
101,101,a lake from latin word lacus is a terrain feature or physical feature a body of liquid on the surface of a world that is localized to the bottom of basin another type of landform or terrain feature that is it is not global and moves slowly if it moves at all,English,0,52,51
102,102,on earth a body of water is considered a lake when it is inland not part of the ocean is larger and deeper than a pond and is fed by a river,English,0,32,31
103,103,the only world other than earth known to harbor lakes is titan saturn s largest moon which has lakes of ethane most likely mixed with methane,English,0,26,25
104,104,it is not known if titan s lakes are fed by rivers though titan s surface is carved by numerous river beds,English,0,22,21
105,105,natural lakes on earth are generally found in mountainous areas rift zones and areas with ongoing or recent glaciation,English,0,19,18
106,106,other lakes are found in endorheic basins or along the courses of mature rivers,English,0,14,13
107,107,in some parts of the world there are many lakes because of chaotic drainage patterns left over from the last ice age,English,0,22,21
108,108,all lakes are temporary over geologic time scales as they will slowly fill in with sediments or spill out of the basin containing them,English,0,24,23
109,109,a pond is a body of standing water either natural or manmade that is usually smaller than a lake,English,0,19,18
110,110,a wide variety of manmade bodies of water are classified as ponds including water gardens designed for aesthetic ornamentation fish ponds designed for commercial fish breeding and solar ponds designed to store thermal energy,English,0,34,33
111,111,ponds and lakes are distinguished from streams via current speed,English,0,10,9
112,112,while currents in streams are easily observed ponds and lakes possess thermally driven microcurrents and moderate wind driven currents,English,0,19,18
113,113,these features distinguish a pond from many other aquatic terrain features such as stream pools and tide pools,English,0,18,17
114,114,a river is a natural watercourse usually freshwater flowing towards an ocean a lake a sea or another river,English,0,19,18
115,115,in a few cases a river simply flows into the ground or dries up completely before reaching another body of water,English,0,21,20
116,116,small rivers may also be called by several other names including stream creek brook rivulet and rill there is no general rule that defines what can be called a river,English,0,30,29
117,117,many names for small rivers are specific to geographic location one example is burn in scotland and northeast england,English,0,19,18
118,118,sometimes a river is said to be larger than a creek but this is not always the case due to vagueness in the language,English,0,24,23
119,119,a river is part of the hydrological cycle,English,0,8,7
120,120,water within a river is generally collected from precipitation through surface runoff groundwater recharge springs and the release of stored water in natural ice and snowpacks ie from glaciers,English,0,29,28
121,121,a stream is a flowing body of water with a current confined within a bed and stream banks,English,0,18,17
122,122,in the united states a stream is classified as a watercourse less than  feet  metres wide,English,0,18,17
123,123,streams are important as conduits in the water cycle instruments in groundwater recharge and they serve as corridors for fish and wildlife migration,English,0,23,22
124,124,the biological habitat in the immediate vicinity of a stream is called a riparian zone,English,0,15,14
125,125,given the status of the ongoing holocene extinction streams play an important corridor role in connecting fragmented habitats and thus in conserving biodiversity,English,0,23,22
126,126,the study of streams and waterways in general involves many branches of interdisciplinary natural science and engineering including hydrology fluvial geomorphology aquatic ecology fish biology riparian ecology and others,English,0,29,28
127,127,ecosystems are composed of a variety of biotic and abiotic components that function in an interrelated way,English,0,17,16
128,128,the structure and composition is determined by various environmental factors that are interrelated,English,0,13,12
129,129,variations of these factors will initiate dynamic modifications to the ecosystem,English,0,11,10
130,130,some of the more important components are soil atmosphere radiation from the sun water and living organisms,English,0,17,16
131,131,central to the ecosystem concept is the idea that living organisms interact with every other element in their local environment,English,0,20,19
132,132,eugene odum a founder of ecology stated any unit that includes all of the organisms ie the community in a given area interacting with the physical environment so that a flow of energy leads to clearly defined trophic structure biotic diversity and material cycles ie,English,0,45,44
133,133, exchange of materials between living and nonliving parts within the system is an ecosystem,English,0,14,14
134,134,within the ecosystem species are connected and dependent upon one another in the food chain and exchange energy and matter between themselves as well as with their environment,English,0,28,27
135,135,the human ecosystem concept is based on the humannature dichotomy and the idea that all species are ecologically dependent on each other as well as with the abiotic constituents of their biotope,English,0,32,31
136,136,a smaller unit of size is called a microecosystem,English,0,9,8
137,137,for example a microsystem can be a stone and all the life under it,English,0,14,13
138,138,a macroecosystem might involve a whole ecoregion with its drainage basin,English,0,11,10
139,139,wilderness is generally defined as areas that have not been significantly modified by human activity,English,0,15,14
140,140,wilderness areas can be found in preserves estates farms conservation preserves ranches national forests national parks and even in urban areas along rivers gulches or otherwise undeveloped areas,English,0,28,27
141,141,wilderness areas and protected parks are considered important for the survival of certain species ecological studies conservation and solitude,English,0,19,18
142,142,some nature writers believe wilderness areas are vital for the human spirit and creativity and some ecologists consider wilderness areas to be an integral part of the earth s selfsustaining natural ecosystem the biosphere,English,0,34,33
143,143,they may also preserve historic genetic traits and that they provide habitat for wild flora and fauna that may be difficult or impossible to recreate in zoos arboretums or laboratories,English,0,30,29
144,144,although there is no universal agreement on the definition of life scientists generally accept that the biological manifestation of life is characterized by organization metabolism growth adaptation response to stimuli and reproduction,English,0,32,31
145,145,life may also be said to be simply the characteristic state of organisms,English,0,13,12
146,146,properties common to terrestrial organisms plants animals fungi protists archaea and bacteria are that they are cellular carbonandwaterbased with complex organization having a metabolism a capacity to grow respond to stimuli and reproduce,English,0,33,32
147,147,an entity with these properties is generally considered life,English,0,9,8
148,148,however not every definition of life considers all of these properties to be essential,English,0,14,13
149,149,humanmade analogs of life may also be considered to be life,English,0,11,10
150,150,the biosphere is the part of earth s outer shell—including land surface rocks water air and the atmosphere—within which life occurs and which biotic processes in turn alter or transform,English,0,30,29
151,151,from the broadest geophysiological point of view the biosphere is the global ecological system integrating all living beings and their relationships including their interaction with the elements of the lithosphere rocks hydrosphere water and atmosphere air,English,0,36,35
152,152,the entire earth contains over  billion tons  trillion pounds or about × kilograms of biomass life which lives within various environments within the biosphere,English,0,24,23
153,153,over ninetenths of the total biomass on earth is plant life on which animal life depends very heavily for its existence,English,0,21,20
154,154,more than  million species of plant and animal life have been identified to date and estimates of the actual number of existing species range from several million to well over  million,English,0,32,31
155,155,the number of individual species of life is constantly in some degree of flux with new species appearing and others ceasing to exist on a continual basis,English,0,27,26
156,156,the total number of species is in rapid decline,English,0,9,8
157,157,the origin of life on earth is not well understood but it is known to have occurred at least  billion years ago during the hadean or archean eons on a primordial earth that had a substantially different environment than is found at present,English,0,43,42
158,158,these life forms possessed the basic traits of selfreplication and inheritable traits,English,0,12,11
159,159,once life had appeared the process of evolution by natural selection resulted in the development of evermore diverse life forms,English,0,20,19
160,160,species that were unable to adapt to the changing environment and competition from other life forms became extinct,English,0,18,17
161,161,however the fossil record retains evidence of many of these older species,English,0,12,11
162,162,current fossil and dna evidence shows that all existing species can trace a continual ancestry back to the first primitive life forms,English,0,22,21
163,163,when basic forms of plant life developed the process of photosynthesis the sun s energy could be harvested to create conditions which allowed for more complex life forms,English,0,28,27
164,164,the resultant oxygen accumulated in the atmosphere and gave rise to the ozone layer,English,0,14,13
165,165,the incorporation of smaller cells within larger ones resulted in the development of yet more complex cells called eukaryotes,English,0,19,18
166,166,cells within colonies became increasingly specialized resulting in true multicellular organisms,English,0,11,10
167,167,with the ozone layer absorbing harmful ultraviolet radiation life colonized the surface of earth,English,0,14,13
168,168,the first form of life to develop on the earth were microbes and they remained the only form of life until about a billion years ago when multicellular organisms began to appear,English,0,32,31
169,169,microorganisms are singlecelled organisms that are generally microscopic and smaller than the human eye can see,English,0,16,15
170,170,they include bacteria fungi archaea and protista,English,0,7,6
171,171,these life forms are found in almost every location on the earth where there is liquid water including in the earth s interior,English,0,23,22
172,172,their reproduction is both rapid and profuse,English,0,7,6
173,173,the combination of a high mutation rate and a horizontal gene transfer ability makes them highly adaptable and able to survive in new environments including outer space,English,0,27,26
174,174,they form an essential part of the planetary ecosystem,English,0,9,8
175,175,however some microorganisms are pathogenic and can post health risk to other organisms,English,0,13,12
176,176,originally aristotle divided all living things between plants which generally do not move fast enough for humans to notice and animals,English,0,21,20
177,177,in linnaeus  system these became the kingdoms vegetabilia later plantae and animalia,English,0,13,12
178,178,since then it has become clear that the plantae as originally defined included several unrelated groups and the fungi and several groups of algae were removed to new kingdoms,English,0,29,28
179,179,however these are still often considered plants in many contexts,English,0,10,9
180,180,bacterial life is sometimes included in flora and some classifications use the term bacterial flora separately from plant flora,English,0,19,18
181,181,among the many ways of classifying plants are by regional floras which depending on the purpose of study can also include fossil flora remnants of plant life from a previous era,English,0,31,30
182,182,people in many regions and countries take great pride in their individual arrays of characteristic flora which can vary widely across the globe due to differences in climate and terrain,English,0,30,29
183,183,regional floras commonly are divided into categories such as native flora and agricultural and garden flora the lastly mentioned of which are intentionally grown and cultivated,English,0,26,25
184,184,some types of native flora actually have been introduced centuries ago by people migrating from one region or continent to another and become an integral part of the native or natural flora of the place to which they were introduced,English,0,40,39
185,185,this is an example of how human interaction with nature can blur the boundary of what is considered nature,English,0,19,18
186,186,another category of plant has historically been carved out for weeds,English,0,11,10
187,187,though the term has fallen into disfavor among botanists as a formal way to categorize useless plants the informal use of the word weeds to describe those plants that are deemed worthy of elimination is illustrative of the general tendency of people and societies to seek to alter or shape the course of nature,English,0,54,53
188,188,similarly animals are often categorized in ways such as domestic farm animals wild animals pests etc,English,0,16,15
189,189,according to their relationship to human life,English,0,7,6
190,190,animals as a category have several characteristics that generally set them apart from other living things,English,0,16,15
191,191,animals are eukaryotic and usually multicellular although see myxozoa which separates them from bacteria archaea and most protists,English,0,18,17
192,192,they are heterotrophic generally digesting food in an internal chamber which separates them from plants and algae,English,0,17,16
193,193,they are also distinguished from plants algae and fungi by lacking cell walls,English,0,13,12
194,194,with a few exceptions—most notably the two phyla consisting of sponges and placozoans—animals have bodies that are differentiated into tissues,English,0,20,19
195,195,these include muscles which are able to contract and control locomotion and a nervous system which sends and processes signals,English,0,20,19
196,196,there is also typically an internal digestive chamber,English,0,8,7
197,197,the eukaryotic cells possessed by all animals are surrounded by a characteristic extracellular matrix composed of collagen and elastic glycoproteins,English,0,20,19
198,198,this may be calcified to form structures like shells bones and spicules a framework upon which cells can move about and be reorganized during development and maturation and which supports the complex anatomy required for mobility,English,0,36,35
199,199,although humans comprise only a minuscule proportion of the total living biomass on earth the human effect on nature is disproportionately large,English,0,22,21
200,200,because of the extent of human influence the boundaries between what humans regard as nature and made environments is not clear cut except at the extremes,English,0,26,25
201,201,even at the extremes the amount of natural environment that is free of discernible human influence is diminishing at an increasingly rapid pace,English,0,23,22
202,202,the development of technology by the human race has allowed the greater exploitation of natural resources and has helped to alleviate some of the risk from natural hazards,English,0,28,27
203,203,in spite of this progress however the fate of human civilization remains closely linked to changes in the environment,English,0,19,18
204,204,there exists a highly complex feedback loop between the use of advanced technology and changes to the environment that are only slowly becoming understood,English,0,24,23
205,205,manmade threats to the earth s natural environment include pollution deforestation and disasters such as oil spills,English,0,17,16
206,206,humans have contributed to the extinction of many plants and animals,English,0,11,10
207,207,humans employ nature for both leisure and economic activities,English,0,9,8
208,208,the acquisition of natural resources for industrial use remains a sizable component of the world s economic system,English,0,18,17
209,209,some activities such as hunting and fishing are used for both sustenance and leisure often by different people,English,0,18,17
210,210,agriculture was first adopted around the th millennium bce,English,0,9,8
211,211,ranging from food production to energy nature influences economic wealth,English,0,10,9
212,212,although early humans gathered uncultivated plant materials for food and employed the medicinal properties of vegetation for healing most modern human use of plants is through agriculture,English,0,27,26
213,213,the clearance of large tracts of land for crop growth has led to a significant reduction in the amount available of forestation and wetlands resulting in the loss of habitat for many plant and animal species as well as increased erosion,English,0,41,40
214,214,beauty in nature has historically been a prevalent theme in art and books filling large sections of libraries and bookstores,English,0,20,19
215,215,that nature has been depicted and celebrated by so much art photography poetry and other literature shows the strength with which many people associate nature and beauty,English,0,27,26
216,216,reasons why this association exists and what the association consists of are studied by the branch of philosophy called aesthetics,English,0,20,19
217,217,beyond certain basic characteristics that many philosophers agree about to explain what is seen as beautiful the opinions are virtually endless,English,0,21,20
218,218,nature and wildness have been important subjects in various eras of world history,English,0,13,12
219,219,an early tradition of landscape art began in china during the tang dynasty –,English,0,14,13
220,220,the tradition of representing nature as it is became one of the aims of chinese painting and was a significant influence in asian art,English,0,24,23
221,221,although natural wonders are celebrated in the psalms and the book of job wilderness portrayals in art became more prevalent in the s especially in the works of the romantic movement,English,0,31,30
222,222,british artists john constable and j m w turner turned their attention to capturing the beauty of the natural world in their paintings,English,0,23,22
223,223,before that paintings had been primarily of religious scenes or of human beings,English,0,13,12
224,224,william wordsworth s poetry described the wonder of the natural world which had formerly been viewed as a threatening place,English,0,20,19
225,225,increasingly the valuing of nature became an aspect of western culture,English,0,11,10
226,226,this artistic movement also coincided with the transcendentalist movement in the western world,English,0,13,12
227,227,a common classical idea of beautiful art involves the word mimesis the imitation of nature,English,0,15,14
228,228,also in the realm of ideas about beauty in nature is that the perfect is implied through perfect mathematical forms and more generally by patterns in nature,English,0,27,26
229,229,as david rothenburg writes the beautiful is the root of science and the goal of art the highest possibility that humanity can ever hope to see,English,0,26,25
230,230, some fields of science see nature as matter in motion obeying certain laws of nature which science seeks to understand,English,0,20,20
231,231,for this reason the most fundamental science is generally understood to be physics—the name for which is still recognizable as meaning that it is the study of nature,English,0,28,27
232,232,matter is commonly defined as the substance of which physical objects are composed,English,0,13,12
233,233,it constitutes the observable universe,English,0,5,4
234,234,the visible components of the universe are now believed to compose only  percent of the total mass,English,0,18,17
235,235,the remainder is believed to consist of  percent cold dark matter and  percent dark energy,English,0,17,16
236,236,the exact arrangement of these components is still unknown and is under intensive investigation by physicists,English,0,16,15
237,237,the behaviour of matter and energy throughout the observable universe appears to follow welldefined physical laws,English,0,16,15
238,238,these laws have been employed to produce cosmological models that successfully explain the structure and the evolution of the universe we can observe,English,0,23,22
239,239,the mathematical expressions of the laws of physics employ a set of twenty physical constants that appear to be static across the observable universe,English,0,24,23
240,240,the values of these constants have been carefully measured but the reason for their specific values remains a mystery,English,0,19,18
241,241,outer space also simply called space refers to the relatively empty regions of the universe outside the atmospheres of celestial bodies,English,0,21,20
242,242,outer space is used to distinguish it from airspace and terrestrial locations,English,0,12,11
243,243,there is no discrete boundary between earth s atmosphere and space as the atmosphere gradually attenuates with increasing altitude,English,0,19,18
244,244,outer space within the solar system is called interplanetary space which passes over into interstellar space at what is known as the heliopause,English,0,23,22
245,245,outer space is sparsely filled with several dozen types of organic molecules discovered to date by microwave spectroscopy blackbody radiation left over from the big bang and the origin of the universe and cosmic rays which include ionized atomic nuclei and various subatomic particles,English,0,44,43
246,246,there is also some gas plasma and dust and small meteors,English,0,11,10
247,247,additionally there are signs of human life in outer space today such as material left over from previous manned and unmanned launches which are a potential hazard to spacecraft,English,0,29,28
248,248,some of this debris reenters the atmosphere periodically,English,0,8,7
249,249,although earth is the only body within the solar system known to support life evidence suggests that in the distant past the planet mars possessed bodies of liquid water on the surface,English,0,32,31
250,250,for a brief period in mars  history it may have also been capable of forming life,English,0,17,16
251,251,at present though most of the water remaining on mars is frozen,English,0,12,11
252,252,if life exists at all on mars it is most likely to be located underground where liquid water can still exist,English,0,21,20
253,253,conditions on the other terrestrial planets mercury and venus appear to be too harsh to support life as we know it,English,0,21,20
254,254,but it has been conjectured that europa the fourthlargest moon of jupiter may possess a subsurface ocean of liquid water and could potentially host life,English,0,25,24
255,255,astronomers have started to discover extrasolar earth analogs – planets that lie in the habitable zone of space surrounding a star and therefore could possibly host life as we know it,English,0,31,30
256,256,media organizations philosophy   wikipedia ˌwɪkɪˈpiːdiə listen wikihpeedeeə or ˌwɪki listen wikee is a multilingual opencollaborative online encyclopedia created and maintained by a community of volunteer editors using a wikibased editing system,English,0,33,32
257,257,it is one of the  most popular websites as ranked by alexa as of january update and the economist newspaper placed it as the thmostvisited place on the web,English,0,29,28
258,258,featuring no advertisements it is hosted by the wikimedia foundation an american nonprofit organization funded primarily through donations,English,0,18,17
259,259,wikipedia was launched on january   by jimmy wales and larry sanger,English,0,13,12
260,260,sanger coined its name as a portmanteau of wiki and encyclopedia,English,0,11,10
261,261,it was initially an englishlanguage encyclopedia but versions in other languages were quickly developed,English,0,14,13
262,262,with  million articles the english wikipedia is the largest of the  wikipedia encyclopedias,English,0,14,13
263,263,overall wikipedia comprises more than  million articles attracting  billion unique visitors per month,English,0,13,12
264,264,wikipedia has been criticized for its uneven accuracy and for exhibiting systemic bias including gender bias with the majority of editors being male,English,0,23,22
265,265,editathons have been held to encourage female editors and increase the coverage of women s topics,English,0,16,15
266,266,in  time magazine stated that the opendoor policy of allowing anyone to edit had made wikipedia the biggest and possibly the best encyclopedia in the world and was a testament to the vision of jimmy wales,English,0,37,36
267,267,the project s reputation improved further in the s as it increased efforts to improve its quality and reliability based on its unique structure curation and absence of commercial bias,English,0,30,29
268,268,in  facebook and youtube announced that they would help users detect fake news by suggesting links to related wikipedia articles,English,0,21,20
269,269,other collaborative online encyclopedias were attempted before wikipedia but none were as successful,English,0,13,12
270,270,wikipedia began as a complementary project for nupedia a free online englishlanguage encyclopedia project whose articles were written by experts and reviewed under a formal process,English,0,26,25
271,271,it was founded on march   under the ownership of bomis a web portal company,English,0,16,15
272,272,its main figures were bomis ceo jimmy wales and larry sanger editorinchief for nupedia and later wikipedia,English,0,17,16
273,273,nupedia was initially licensed under its own nupedia open content license but even before wikipedia was founded nupedia switched to the gnu free documentation license at the urging of richard stallman,English,0,31,30
274,274,wales is credited with defining the goal of making a publicly editable encyclopedia while sanger is credited with the strategy of using a wiki to reach that goal,English,0,28,27
275,275,on january   sanger proposed on the nupedia mailing list to create a wiki as a feeder project for nupedia,English,0,21,20
276,276,the domains wikipediacom and wikipediaorg were registered on january   and january   respectively and wikipedia was launched on january   as a single englishlanguage edition at wwwwikipediacom and announced by sanger on the nupedia mailing list,English,0,40,39
277,277,wikipedia s policy of neutral pointofview was codified in its first few months,English,0,13,12
278,278,otherwise there were relatively few rules initially and wikipedia operated independently of nupedia,English,0,13,12
279,279,originally bomis intended to make wikipedia a business for profit,English,0,10,9
280,280,wikipedia gained early contributors from nupedia slashdot postings and web search engine indexing,English,0,13,12
281,281,language editions were also created with a total of  by the end of ,English,0,15,14
